"eventId","id","name","order"
53343,1,"Division 1",1
53425,1,"Division 1",1
53470,1,"Division 1",1
53499,1,"Division 1",1
53510,1,"Division 1",1
53527,1,"Division 1",1
53540,1,"Middle School",1
53555,1,"Division 1",1
53670,1,"Division 1",1
53744,1,"Division 1",1
53745,1,"Default",1
53763,1,"Division 1",1
53795,1,"Division 1",1
53796,1,"Division 1",1
53812,1,"Division 1",1
53897,1,"Division 1",1
53944,1,"Division 1",1
53964,1,"Division 1",1
53991,1,"Division 1",1
54003,1,"Division 1",1
54035,1,"Division 1",1
54080,1,"Division 1",1
54144,1,"Division 1",1
54147,1,"Division 1",1
54166,1,"Division 1",1
54175,1,"IQ Division",1
54260,1,"West Care Nevada",1
54260,2,"Lhoist ",2
54260,100,"Event Finals",100
54274,1,"Division 1",1
54326,1,"Division 1",1
54327,1,"Division 1",1
54332,1,"Division 1",1
54355,1,"Division 1",1
54358,1,"Division 1",1
54431,1,"Division 1",1
54476,1,"Division 1",1
54477,1,"Division 1",1
54508,1,"Division 1",1
54510,1,"Default Division",1
54549,1,"Division 1",1
54551,1,"Division 1",1
54638,1,"Division 1",1
54644,1,"Division 1",1
54673,1,"Division 1",1
54725,1,"Knights",1
54734,1,"Division 1",1
54742,1,"Default",1
54752,1,"Division 1",1
54779,1,"Division 1",1
54784,1,"Division 1",1
54965,1,"Division 1",1
55022,1,"Division 1",1
55132,1,"Division 1",1
55134,1,"Division 1",1
55204,1,"Division 1",1
55250,1,"Division 1",1
55310,1,"Division 1",1
55359,1,"Division 1",1
53526,1,"Division 1",1
53733,1,"Division 1",1
53734,1,"Division 1",1
54157,1,"Division 1",1
54438,1,"Division 1",1
55339,1,"Division 1",1
53160,1,"Division 1",1
53502,1,"Division 1",1
52683,1,"Division 1",1
55050,1,"Division 1",1
51762,1,"Division 1",1
51810,1,"Division 1",1
51912,1,"Division 1",1
52016,1,"Patriot Division",1
52017,1,"Patriot MS Division",1
52434,1,"Division 1",1
52471,1,"Division 1",1
52475,1,"Division 1",1
52580,1,"Division 1",1
52671,1,"Division 1",1
52702,1,"Division 1",1
52799,1,"Division 1",1
52851,1,"Division 1",1
52857,1,"Division 1",1
52905,1,"Division 1",1
52948,1,"Division 1",1
53014,1,"Division 1",1
53031,1,"Division 1",1
53222,1,"Division 1",1
53223,1,"Division 1",1
53237,1,"Division 1",1
53240,1,"Division 1",1
53253,1,"Division 1",1
53290,1,"Division 1",1
53296,1,"Division 1",1
53308,1,"Division 1",1
53324,1,"Division 1",1
53335,1,"Division 1",1
53344,1,"Division 1",1
53345,1,"Default",1
53363,1,"Division 1",1
53364,1,"Division 1",1
53365,1,"Division 1",1
53370,1,"Division 1",1
53389,1,"Division 1",1
53606,1,"Division 1",1
53614,1,"Division 1",1
53679,1,"Division 1",1
53730,1,"Division 1",1
53775,1,"Default Division",1
53808,1,"Division 1",1
53886,1,"VIQRC ES",1
53887,1,"VIQRC MS",1
53911,1,"Division 1",1
54040,1,"Division 1",1
54047,1,"Division 1",1
54071,1,"Division 1",1
54073,1,"Division 1",1
54081,1,"Division 1",1
54105,1,"Division 1",1
54107,1,"Division 1",1
54115,1,"Division 1",1
54136,1,"Division 1",1
54151,1,"Division 1",1
54350,1,"Division 1",1
54356,1,"Division 1",1
54370,1,"Division 1",1
54417,1,"Division 1",1
54447,1,"Division 1",1
54448,1,"Division 1",1
54480,1,"Division 1",1
54482,1,"Division 1",1
54516,1,"Division 1",1
54528,1,"Division 1",1
54529,1,"Division 1",1
54533,1,"Division 1",1
54538,1,"Division 1",1
54554,1,"Division 1",1
54586,1,"Division 1",1
54587,1,"Division 1",1
54594,1,"Default Division",1
54609,1,"Division 1",1
54637,1,"Division 1",1
54669,1,"Division 1",1
54703,1,"Division 1",1
54712,1,"Division 1",1
54716,1,"Division 1",1
54719,1,"Division 1",1
54735,1,"Division 1",1
54778,1,"Division 1",1
54806,1,"Division 1",1
54807,1,"Division 1",1
54808,1,"Division 1",1
54843,1,"Division 1",1
54858,1,"Division 1",1
54869,1,"Division 1",1
54976,1,"Division 1",1
55075,1,"Division 1",1
55083,1,"Division 1",1
55209,1,"Division 1",1
55211,1,"Division 1",1
55231,1,"Division 1",1
55236,1,"Division 1",1
55353,1,"Division 1",1
55354,1,"Division 1",1
55362,1,"Division 1",1
52530,1,"Division 1",1
53082,1,"Division 1",1
54198,1,"Division 1",1
54352,1,"Division 1",1
54758,1,"Default Division",1
54783,1,"Division 1",1
52807,1,"Division 1",1
54649,1,"Default Division",1
54650,1,"Default Division",1
53134,1,"ES Division",1
53155,1,"MS Division",1
54841,1,"Default Division",1
55045,1,"Division 1",1
51516,1,"Default Division",1
51705,1,"Division 1",1
52030,1,"Division 1",1
52033,1,"Division 1",1
52425,1,"Division 1",1
52708,1,"Division 1",1
52744,1,"Division 1",1
53043,1,"Division 1",1
53090,1,"Division 1",1
53172,1,"Division 1",1
53410,1,"Default Division",1
53411,1,"Default Division",1
53522,1,"Division 1",1
53523,1,"Division 1",1
53629,1,"Division 1",1
53680,1,"Default Division",1
53714,1,"Division 1",1
53749,1,"Division 1",1
53750,1,"Division 1",1
53925,1,"Division 1",1
53955,1,"Division 1",1
53956,1,"Default",1
54004,1,"Division 1",1
54055,1,"Division 1",1
54220,1,"Division 1",1
54221,1,"Division 1",1
54251,1,"Division 1",1
54255,1,"Division 1",1
54305,1,"Division 1",1
54457,1,"Division 1",1
54588,1,"Division 1",1
54589,1,"Division 1",1
54597,1,"Division 1",1
54636,1,"Division 1",1
54646,1,"Division 1",1
54662,1,"Default",1
54687,1,"Division 1",1
54720,1,"Default",1
54721,1,"Division 1",1
54786,1,"Division 1",1
55219,1,"Division 1",1
55254,1,"Division 1",1
55278,1,"Division 1",1
55379,1,"Champion Division",1
53666,1,"Main Division",1
53852,1,"Division 1",1
54573,1,"Division 1",1
54224,1,"Default Division",1
